Gene,Ensembl ID,Lineage/ L1 or state,cell type(s),Rationale/Source,Specific Request by,specificity flag,Protein/Other name,is_in_10x_multi_panel,10x_multi_panel_celltype,is_in_Xenium_KIL_panel,10x_panel_designer_comment
SLC39A8,ENSG00000138821,"epithelial, mesenchymal",Epicardium,Tissue  expert added,HRT Add-on,,,FALSE,NA,FALSE,
CFAP157,ENSG00000160401,"epithelial, multiciliated",multiciliated cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
DNAH12,ENSG00000174844,"epithelial, multiciliated",multiciliated cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
ERICH3,ENSG00000178965,"epithelial, multiciliated",multiciliated cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
FOXJ1,ENSG00000129654,"epithelial, multiciliated",multiciliated cells,MxIF Proteins,,,,TRUE,Lung - Respiratory ciliated cells,TRUE,
ZMYND10,ENSG00000004838,"epithelial, multiciliated",multiciliated cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
ITGA9,ENSG00000144668,"epithelial, stroma","airway epithelium, basal layer squamous epithelium, smooth and skeletal muscle",MxIF Proteins,,,,FALSE,NA,FALSE,
ALOX5,ENSG00000012779,ferroptosis,multiple,Tissue  expert added,,,,FALSE,NA,FALSE,
TFRC,ENSG00000072274,ferroptosis,multiple,Tissue  expert added,,,TFR1,FALSE,NA,FALSE,
AHSP,ENSG00000169877,hematopoietic,erythrocyte,TOP 5 (CZI) List,,,,TRUE,Liver - Erythroid cells,FALSE,
ALAS2,ENSG00000158578,hematopoietic,erythrocyte,TOP 5 (CZI) List,,,,TRUE,Liver - Erythroid cells,FALSE,
CD38,ENSG00000004468,hematopoietic,"maturing lymphoid, plasma cells",MxIF Proteins; Tissue  expert added,,,,FALSE,NA,TRUE,
PF4,ENSG00000163737,hematopoietic,"megakaryocytes, platelets",MxIF Proteins,,,,FALSE,NA,FALSE,
GYPB,ENSG00000250361,hematopoietic,erythrocyte,TOP 5 (CZI) List,,,,TRUE,Liver - Erythroid cells,FALSE,
HBM,ENSG00000206177,hematopoietic,erythrocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
PTPRC,ENSG00000081237,hematopoietic,"all nucleated hematopoietic cells, cells derived from bone marrow",MxIF Proteins,,,CD45,TRUE,"Breast - Dendritic cells,General - B cells,General - Immune cells,General - Macrophages,General - T cells,Liver - Kupffer cells",TRUE,Highly expressed
SLC4A1,ENSG00000004939,hematopoietic,erythrocyte,TOP 5 (CZI) List,,,,TRUE,Liver - Erythroid cells,TRUE,
CD34,ENSG00000174059,hematopoietic stem cell,"immature endothelium, and others",MxIF Proteins,,,,TRUE,"Breast - Adipocytes,General - Endothelial cells,General - Fibroblasts,Liver - Hepatic stellate cells",FALSE,
DPPA4,ENSG00000121570,hematopoietic stem cell,hematopoietic stem cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
IGLL1,ENSG00000128322,hematopoietic stem cell,hematopoietic stem cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
