"organ","as","as_id","cell_id"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:neuroendocrine"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:neutrophil"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:nk"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:nk-cell"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:nk-t-cell"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:paneth"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:pdc"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:pericyte"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:plasma"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:pre-b"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:pro-b"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:progenitor-neurog3-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:proximal-progenitor"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:rbc"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:sell-cd4-t"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:sell-cd8-t"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:smc-part1-capn3-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:smc-plpp2-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:smooth-muscle"
